query	v3_len	v4_len	delta	ratio	v3_cte	v4_cte	v3_sel	v4_sel	v3_t	v4_t
86	2506	2147	-359	0.86	4	3	5	4	0.14	0.14
87	3614	3197	-417	0.88	5	4	8	7	0.43	0.52
88	4108	4108	0	1.00	1	1	2	2	0.26	0.09
89	3964	3964	0	1.00	2	2	3	3	0.11	0.09
90	1197	1197	0	1.00	0	0	1	1	0.09	0.09
91	2748	2748	0	1.00	0	0	1	1	0.24	0.20
92	1380	1334	-46	0.97	2	2	3	3	0.15	0.09
93	923	923	0	1.00	0	0	1	1	0.13	0.06
94	3433	3240	-193	0.94	6	9	11	14	0.32	0.18
95	3772	3586	-186	0.95	6	9	11	14	0.32	0.21
96	1030	1030	0	1.00	0	0	1	1	0.09	0.06
97-one	3010	2837	-173	0.94	4	3	5	4	0.51	0.16
97-two	3026	2853	-173	0.94	4	3	5	4	0.56	0.21
97	2313	2313	0	1.00	2	2	4	4	0.50	3.27
98	3456	2991	-465	0.87	5	4	6	5	0.13	0.10
99	2595	2595	0	1.00	0	0	1	1	0.26	0.15
